Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,1,3.75,5,136.6,3.7,0.3,50,44.4
0,1,3.75,5,136.6,3.7,0.3,100,56.2
0,1,3.75,5,136.6,3.7,0.3,150,63.5
0,1,3.75,5,136.6,3.7,14,10,55
0,1,3.75,5,136.6,3.7,14,20,85.5
0,1,3.75,5,136.6,3.7,14,40,129.5
0,1,3.75,5,136.6,3.7,14,50,147
0,1,3.75,5,136.6,3.7,14,100,214
0,1,3.75,5,136.6,3.7,7.4,10,62
0,1,3.75,5,136.6,3.7,7.4,20,93.4
0,1,3.75,5,136.6,3.7,7.4,40,148
0,1,3.75,5,136.6,3.7,7.4,50,166
0,0,0,0,160.63,5,0.3,10,660
0,0,0,0,160.63,5,0.3,20,703
0,0,0,0,160.63,5,0.3,40,755
0,0,0,0,160.63,5,14,10,766
0,0,0,0,160.63,5,7.4,10,694
0,0,0,0,507,3.65,14,20,456
0,0,0,0,507,3.65,14,10,392
0,1,31.4,5,485,4.52,0.3,10,50
0,1,31.4,5,485,4.52,0.3,20,74
0,1,20.1,5,509,3.05,0.3,10,66
0,1,20.1,5,509,3.05,0.3,20,92
0,1,13.6,5,491,7.22,0.3,10,47
0,1,13.6,5,491,7.22,0.3,20,68.5
0,1,0.13,5,461,11.62,0.3,10,210
